x,y,DEW_POINT_TEMP_FLAG,HUMIDEX,UTC_MONTH,TEMP,WIND_DIRECTION,RELATIVE_HUMIDITY_FLAG,WIND_SPEED,WINDCHILL_FLAG,TEMP_FLAG,LOCAL_DAY,LOCAL_YEAR,STATION_PRESSURE,LOCAL_HOUR,DEW_POINT_TEMP,PRECIP_AMOUNT,WEATHER_ENG_DESC,WIND_DIRECTION_FLAG,ID,UTC_YEAR,LOCAL_DATE,PRECIP_AMOUNT_FLAG,CLIMATE_IDENTIFIER,RELATIVE_HUMIDITY,WIND_SPEED_FLAG,HUMIDEX_FLAG,VISIBILITY,WEATHER_FRE_DESC,WINDCHILL,STATION_NAME,LOCAL_MONTH,PROVINCE_CODE,UTC_DAY,STATION_PRESSURE_FLAG,UTC_DATE,VISIBILITY_FLAG
-120.44194444444445,50.702222222222225,,,4,8.2,5,,7,,,14,2023,97.47,22,-7.2,0,NA,,1163842.2023.4.14.22,2023,2023-04-14 22:00:00,,1163842,33,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T06:00:00,
-120.44194444444445,50.702222222222225,,,4,7.3,8,,17,,,14,2023,97.47,23,-5.6,0,NA,,1163842.2023.4.14.23,2023,2023-04-14 23:00:00,,1163842,40,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T07:00:00,
-120.44194444444445,50.702222222222225,,,4,6.1,4,,6,,,15,2023,97.51,0,-4.4,0,NA,,1163842.2023.4.15.0,2023,2023-04-15 00:00:00,,1163842,47,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T08:00:00,
-120.44194444444445,50.702222222222225,,,4,5.6,6,,18,,,15,2023,97.52,1,-4.9,0,NA,,1163842.2023.4.15.1,2023,2023-04-15 01:00:00,,1163842,47,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T09:00:00,
-120.44194444444445,50.702222222222225,,,4,6.4,10,,26,,,15,2023,97.54,2,-4.0,0,NA,,1163842.2023.4.15.2,2023,2023-04-15 02:00:00,,1163842,47,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T10:00:00,
-120.44194444444445,50.702222222222225,,,4,5.8,10,,29,,,15,2023,97.59,3,-4.0,0,NA,,1163842.2023.4.15.3,2023,2023-04-15 03:00:00,,1163842,49,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T11:00:00,
-120.44194444444445,50.702222222222225,,,4,5.2,9,,28,,,15,2023,97.62,4,-3.4,0,NA,,1163842.2023.4.15.4,2023,2023-04-15 04:00:00,,1163842,54,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T12:00:00,
-120.44194444444445,50.702222222222225,,,4,5.3,9,,24,,,15,2023,97.63,5,-3.0,0,NA,,1163842.2023.4.15.5,2023,2023-04-15 05:00:00,,1163842,55,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T13:00:00,
-120.44194444444445,50.702222222222225,,,4,5.6,9,,24,,,15,2023,97.67,6,-3.1,0,NA,,1163842.2023.4.15.6,2023,2023-04-15 06:00:00,,1163842,54,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T14:00:00,
-120.44194444444445,50.702222222222225,,,4,5.6,8,,21,,,15,2023,97.7,7,-2.4,0,NA,,1163842.2023.4.15.7,2023,2023-04-15 07:00:00,,1163842,56,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T15:00:00,
-120.44194444444445,50.702222222222225,,,4,6.3,7,,22,,,15,2023,97.69,8,-2.2,0,NA,,1163842.2023.4.15.8,2023,2023-04-15 08:00:00,,1163842,54,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T16:00:00,
-120.44194444444445,50.702222222222225,,,4,7.6,8,,21,,,15,2023,97.68,9,-2.0,0,NA,,1163842.2023.4.15.9,2023,2023-04-15 09:00:00,,1163842,50,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T17:00:00,
-120.44194444444445,50.702222222222225,,,4,9.5,11,,21,,,15,2023,97.63,10,-1.7,0,NA,,1163842.2023.4.15.10,2023,2023-04-15 10:00:00,,1163842,46,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T18:00:00,
-120.44194444444445,50.702222222222225,,,4,10.9,10,,17,,,15,2023,97.59,11,-2.4,0,NA,,1163842.2023.4.15.11,2023,2023-04-15 11:00:00,,1163842,39,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T19:00:00,
-120.44194444444445,50.702222222222225,,,4,12.2,10,,14,,,15,2023,97.55,12,-3.1,0,NA,,1163842.2023.4.15.12,2023,2023-04-15 12:00:00,,1163842,34,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T20:00:00,
-120.44194444444445,50.702222222222225,,,4,13.1,10,,25,,,15,2023,97.52,13,-4.1,0,NA,,1163842.2023.4.15.13,2023,2023-04-15 13:00:00,,1163842,30,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T21:00:00,
-120.44194444444445,50.702222222222225,,,4,13.1,8,,20,,,15,2023,97.53,14,-2.7,0,NA,,1163842.2023.4.15.14,2023,2023-04-15 14:00:00,,1163842,33,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T22:00:00,
-120.44194444444445,50.702222222222225,,,4,13.9,10,,29,,,15,2023,97.5,15,-2.4,0,NA,,1163842.2023.4.15.15,2023,2023-04-15 15:00:00,,1163842,32,,,,ND,,KAMLOOPS AUT,4,BC,15,,2023-04-15T23:00:00,
-120.44194444444445,50.702222222222225,,,4,13.4,12,,21,,,15,2023,97.48,16,-0.9,0,NA,,1163842.2023.4.15.16,2023,2023-04-15 16:00:00,,1163842,37,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T00:00:00,
-120.44194444444445,50.702222222222225,,,4,13.4,11,,21,,,15,2023,97.46,17,-0.8,0,NA,,1163842.2023.4.15.17,2023,2023-04-15 17:00:00,,1163842,38,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T01:00:00,
-120.44194444444445,50.702222222222225,,,4,13.1,12,,16,,,15,2023,97.46,18,-0.7,0,NA,,1163842.2023.4.15.18,2023,2023-04-15 18:00:00,,1163842,39,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T02:00:00,
-120.44194444444445,50.702222222222225,,,4,12.0,9,,23,,,15,2023,97.44,19,-1.0,0,NA,,1163842.2023.4.15.19,2023,2023-04-15 19:00:00,,1163842,40,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T03:00:00,
-120.44194444444445,50.702222222222225,,,4,12.1,15,,20,,,15,2023,97.46,20,-1.5,0,NA,,1163842.2023.4.15.20,2023,2023-04-15 20:00:00,,1163842,39,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T04:00:00,
-120.44194444444445,50.702222222222225,,,4,11.6,14,,19,,,15,2023,97.48,21,-1.0,0,NA,,1163842.2023.4.15.21,2023,2023-04-15 21:00:00,,1163842,42,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T05:00:00,
-120.44194444444445,50.702222222222225,,,4,11.0,8,,19,,,15,2023,97.48,22,-0.5,0,NA,,1163842.2023.4.15.22,2023,2023-04-15 22:00:00,,1163842,45,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T06:00:00,
-120.44194444444445,50.702222222222225,,,4,10.5,8,,22,,,15,2023,97.48,23,-0.4,0,NA,,1163842.2023.4.15.23,2023,2023-04-15 23:00:00,,1163842,47,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T07:00:00,
-120.44194444444445,50.702222222222225,,,4,9.9,9,,16,,,16,2023,97.47,0,0.3,0,NA,,1163842.2023.4.16.0,2023,2023-04-16 00:00:00,,1163842,51,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T08:00:00,
-120.44194444444445,50.702222222222225,,,4,9.3,9,,17,,,16,2023,97.42,1,0.8,0,NA,,1163842.2023.4.16.1,2023,2023-04-16 01:00:00,,1163842,55,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T09:00:00,
-120.44194444444445,50.702222222222225,,,4,8.9,11,,14,,,16,2023,97.37,2,1.3,0,NA,,1163842.2023.4.16.2,2023,2023-04-16 02:00:00,,1163842,59,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T10:00:00,
-120.44194444444445,50.702222222222225,,,4,8.7,11,,18,,,16,2023,97.32,3,1.7,0,NA,,1163842.2023.4.16.3,2023,2023-04-16 03:00:00,,1163842,62,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T11:00:00,
-120.44194444444445,50.702222222222225,,,4,8.0,10,,13,,,16,2023,97.3,4,2.1,0,NA,,1163842.2023.4.16.4,2023,2023-04-16 04:00:00,,1163842,66,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T12:00:00,
-120.44194444444445,50.702222222222225,,,4,8.2,11,,16,,,16,2023,97.21,5,2.0,0,NA,,1163842.2023.4.16.5,2023,2023-04-16 05:00:00,,1163842,65,,,,ND,,KAMLOOPS AUT,4,BC,16,,2023-04-16T13:00:00,
