x,y,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,TOTAL_RAIN,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,TOTAL_PRECIPITATION,LOCAL_MONTH,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,ID,MIN_REL_HUMIDITY,MAX_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG
-120.80083472222222,50.11416777777778,,-1,M,16.5,,,,,18,,1.5,,1995,0,0,,,1995-12-18 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.18,,4,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-2,M,17,,,,,19,,1,,1995,0,0,,,1995-12-19 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.19,,4,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5,M,19.8,,,,,20,,-1.8,,1995,0,0,,,1995-12-20 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.20,,1.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5,M,21,,,,,21,,-3,,1995,0,0,,,1995-12-21 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.21,,-1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-10,M,24.8,,,,,22,,-6.8,,1995,0,0,,,1995-12-22 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.22,,-3.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-8,M,22.5,,,,,23,,-4.5,,1995,0,0,,,1995-12-23 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.23,,-1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-4,M,20.8,,,,,24,,-2.8,,1995,0,0,,,1995-12-24 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.24,,-1.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-12,M,26.5,,,,,25,,-8.5,,1995,0,0,,,1995-12-25 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.25,,-5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-11,M,26.3,,,,,26,,-8.3,,1995,0,0,,,1995-12-26 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.26,,-5.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-11,M,25.5,,,,,27,,-7.5,T,1995,0,0,,,1995-12-27 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.27,,-4,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-7,M,21.5,,,,,28,,-3.5,,1995,0,1.4,,,1995-12-28 00:00:00,,,MERRITT STP,1.4,12,,,1125079.1995.12.28,,0,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,M,18.3,,,,,29,,-0.3,,1995,0,5,,,1995-12-29 00:00:00,,,MERRITT STP,5,12,,,1125079.1995.12.29,,2.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1.5,,18,8,,,,30,,0,,1995,0,8.5,,,1995-12-30 00:00:00,,,MERRITT STP,8.5,12,,,1125079.1995.12.30,,1.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1.5,,18.3,15,,,,31,,-0.3,,1995,0,0,,,1995-12-31 00:00:00,,,MERRITT STP,0,12,,,1125079.1995.12.31,,1,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,,16,11,,,,1,,2,,1996,0,5.5,,,1996-01-01 00:00:00,,,MERRITT STP,5.5,1,,,1125079.1996.1.1,,7,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-0.5,,14.2,10,,,,2,,3.8,,1996,2.6,0,,,1996-01-02 00:00:00,,,MERRITT STP,2.6,1,,,1125079.1996.1.2,,8,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0,,15.5,8,,,,3,,2.5,,1996,0,1.3,,,1996-01-03 00:00:00,,,MERRITT STP,1.3,1,,,1125079.1996.1.3,,5,1125079,BC,,,0,
