x,y,DEW_POINT_TEMP_FLAG,HUMIDEX,UTC_MONTH,TEMP,WIND_DIRECTION,RELATIVE_HUMIDITY_FLAG,WIND_SPEED,WINDCHILL_FLAG,TEMP_FLAG,LOCAL_DAY,LOCAL_YEAR,STATION_PRESSURE,LOCAL_HOUR,DEW_POINT_TEMP,PRECIP_AMOUNT,WEATHER_ENG_DESC,WIND_DIRECTION_FLAG,ID,UTC_YEAR,LOCAL_DATE,PRECIP_AMOUNT_FLAG,CLIMATE_IDENTIFIER,RELATIVE_HUMIDITY,WIND_SPEED_FLAG,HUMIDEX_FLAG,VISIBILITY,WEATHER_FRE_DESC,WINDCHILL,STATION_NAME,LOCAL_MONTH,PROVINCE_CODE,UTC_DAY,STATION_PRESSURE_FLAG,UTC_DATE,VISIBILITY_FLAG
-120.44194444444445,50.702222222222225,,,2,-12.3,31,,19,,,22,2022,99.29,6,-20.7,0,NA,,1163842.2022.2.22.6,2022,2022-02-22 06:00:00,,1163842,49,,,,ND,-21,KAMLOOPS AUT,2,BC,22,,2022-02-22T14:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.7,29,,15,,,22,2022,99.36,7,-20.4,0,NA,,1163842.2022.2.22.7,2022,2022-02-22 07:00:00,,1163842,53,,,,ND,-20,KAMLOOPS AUT,2,BC,22,,2022-02-22T15:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.0,30,,15,,,22,2022,99.46,8,-21.6,0,NA,,1163842.2022.2.22.8,2022,2022-02-22 08:00:00,,1163842,45,,,,ND,-19,KAMLOOPS AUT,2,BC,22,,2022-02-22T16:00:00,
-120.44194444444445,50.702222222222225,,,2,-11.0,27,,30,,,22,2022,99.48,9,-20.2,0,NA,,1163842.2022.2.22.9,2022,2022-02-22 09:00:00,,1163842,47,,,,ND,-21,KAMLOOPS AUT,2,BC,22,,2022-02-22T17:00:00,
-120.44194444444445,50.702222222222225,,,2,-11.1,27,,33,,,22,2022,99.5,10,-21.5,0,NA,,1163842.2022.2.22.10,2022,2022-02-22 10:00:00,,1163842,42,,,,ND,-21,KAMLOOPS AUT,2,BC,22,,2022-02-22T18:00:00,
-120.44194444444445,50.702222222222225,,,2,-9.6,28,,33,,,22,2022,99.5,11,-19.6,0,NA,,1163842.2022.2.22.11,2022,2022-02-22 11:00:00,,1163842,44,,,,ND,-19,KAMLOOPS AUT,2,BC,22,,2022-02-22T19:00:00,
-120.44194444444445,50.702222222222225,,,2,-8.9,28,,31,,,22,2022,99.45,12,-21.0,0,NA,,1163842.2022.2.22.12,2022,2022-02-22 12:00:00,,1163842,37,,,,ND,-18,KAMLOOPS AUT,2,BC,22,,2022-02-22T20:00:00,
-120.44194444444445,50.702222222222225,,,2,-7.9,28,,31,,,22,2022,99.35,13,-20.8,0,NA,,1163842.2022.2.22.13,2022,2022-02-22 13:00:00,,1163842,35,,,,ND,-17,KAMLOOPS AUT,2,BC,22,,2022-02-22T21:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.8,27,,31,,,22,2022,99.29,14,-21.0,0,NA,,1163842.2022.2.22.14,2022,2022-02-22 14:00:00,,1163842,31,,,,ND,-15,KAMLOOPS AUT,2,BC,22,,2022-02-22T22:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.2,28,,33,,,22,2022,99.31,15,-20.3,0,NA,,1163842.2022.2.22.15,2022,2022-02-22 15:00:00,,1163842,32,,,,ND,-15,KAMLOOPS AUT,2,BC,22,,2022-02-22T23:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.1,27,,24,,,22,2022,99.28,16,-21.2,0,NA,,1163842.2022.2.22.16,2022,2022-02-22 16:00:00,,1163842,29,,,,ND,-14,KAMLOOPS AUT,2,BC,23,,2022-02-23T00:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.5,26,,20,,,22,2022,99.26,17,-20.7,0,NA,,1163842.2022.2.22.17,2022,2022-02-22 17:00:00,,1163842,31,,,,ND,-13,KAMLOOPS AUT,2,BC,23,,2022-02-23T01:00:00,
-120.44194444444445,50.702222222222225,,,2,-7.9,29,,18,,,22,2022,99.29,18,-19.4,0,NA,,1163842.2022.2.22.18,2022,2022-02-22 18:00:00,,1163842,39,,,,ND,-15,KAMLOOPS AUT,2,BC,23,,2022-02-23T02:00:00,
-120.44194444444445,50.702222222222225,,,2,-8.0,28,,20,,,22,2022,99.31,19,-19.8,0,NA,,1163842.2022.2.22.19,2022,2022-02-22 19:00:00,,1163842,38,,,,ND,-15,KAMLOOPS AUT,2,BC,23,,2022-02-23T03:00:00,
-120.44194444444445,50.702222222222225,,,2,-8.3,26,,14,,,22,2022,99.32,20,-19.7,0,NA,,1163842.2022.2.22.20,2022,2022-02-22 20:00:00,,1163842,39,,,,ND,-14,KAMLOOPS AUT,2,BC,23,,2022-02-23T04:00:00,
-120.44194444444445,50.702222222222225,,,2,-8.7,26,,13,,,22,2022,99.37,21,-19.8,0,NA,,1163842.2022.2.22.21,2022,2022-02-22 21:00:00,,1163842,40,,,,ND,-15,KAMLOOPS AUT,2,BC,23,,2022-02-23T05:00:00,
-120.44194444444445,50.702222222222225,,,2,-9.3,25,,10,,,22,2022,99.35,22,-19.7,0,NA,,1163842.2022.2.22.22,2022,2022-02-22 22:00:00,,1163842,42,,,,ND,-14,KAMLOOPS AUT,2,BC,23,,2022-02-23T06:00:00,
-120.44194444444445,50.702222222222225,,,2,-10.3,24,,10,,,22,2022,99.36,23,-18.6,0,NA,,1163842.2022.2.22.23,2022,2022-02-22 23:00:00,,1163842,51,,,,ND,-16,KAMLOOPS AUT,2,BC,23,,2022-02-23T07:00:00,
-120.44194444444445,50.702222222222225,,,2,-10.7,24,,14,,,23,2022,99.35,0,-19.3,0,NA,,1163842.2022.2.23.0,2022,2022-02-23 00:00:00,,1163842,50,,,,ND,-17,KAMLOOPS AUT,2,BC,23,,2022-02-23T08:00:00,
-120.44194444444445,50.702222222222225,,,2,-11.9,29,,7,,,23,2022,99.36,1,-19.4,0,NA,,1163842.2022.2.23.1,2022,2022-02-23 01:00:00,,1163842,54,,,,ND,-16,KAMLOOPS AUT,2,BC,23,,2022-02-23T09:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.0,26,,8,,,23,2022,99.38,2,-19.7,0,NA,,1163842.2022.2.23.2,2022,2022-02-23 02:00:00,,1163842,53,,,,ND,-17,KAMLOOPS AUT,2,BC,23,,2022-02-23T10:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.5,25,,10,,,23,2022,99.33,3,-19.5,0,NA,,1163842.2022.2.23.3,2022,2022-02-23 03:00:00,,1163842,56,,,,ND,-18,KAMLOOPS AUT,2,BC,23,,2022-02-23T11:00:00,
-120.44194444444445,50.702222222222225,,,2,-13.0,27,,1,,,23,2022,99.29,4,-18.5,0,NA,,1163842.2022.2.23.4,2022,2022-02-23 04:00:00,,1163842,64,,,,ND,-14,KAMLOOPS AUT,2,BC,23,,2022-02-23T12:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.5,1,,3,,,23,2022,99.23,5,-17.8,0,NA,,1163842.2022.2.23.5,2022,2022-02-23 05:00:00,,1163842,65,,,,ND,-14,KAMLOOPS AUT,2,BC,23,,2022-02-23T13:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.8,7,,5,,,23,2022,99.19,6,-17.4,0,NA,,1163842.2022.2.23.6,2022,2022-02-23 06:00:00,,1163842,68,,,,ND,-16,KAMLOOPS AUT,2,BC,23,,2022-02-23T14:00:00,
-120.44194444444445,50.702222222222225,,,2,-12.5,10,,10,,,23,2022,99.1,7,-18.1,0,NA,,1163842.2022.2.23.7,2022,2022-02-23 07:00:00,,1163842,63,,,,ND,-18,KAMLOOPS AUT,2,BC,23,,2022-02-23T15:00:00,
-120.44194444444445,50.702222222222225,,,2,-11.8,9,,9,,,23,2022,99.07,8,-18.2,0,NA,,1163842.2022.2.23.8,2022,2022-02-23 08:00:00,,1163842,59,,,,ND,-17,KAMLOOPS AUT,2,BC,23,,2022-02-23T16:00:00,
-120.44194444444445,50.702222222222225,,,2,-11.1,10,,10,,,23,2022,99.03,9,-17.7,0,NA,,1163842.2022.2.23.9,2022,2022-02-23 09:00:00,,1163842,58,,,,ND,-17,KAMLOOPS AUT,2,BC,23,,2022-02-23T17:00:00,
-120.44194444444445,50.702222222222225,,,2,-10.3,11,,9,,,23,2022,98.95,10,-18.6,0,NA,,1163842.2022.2.23.10,2022,2022-02-23 10:00:00,,1163842,50,,,,ND,-15,KAMLOOPS AUT,2,BC,23,,2022-02-23T18:00:00,
-120.44194444444445,50.702222222222225,,,2,-9.6,12,,2,,,23,2022,98.91,11,-18.2,0,NA,,1163842.2022.2.23.11,2022,2022-02-23 11:00:00,,1163842,50,,,,ND,-11,KAMLOOPS AUT,2,BC,23,,2022-02-23T19:00:00,
-120.44194444444445,50.702222222222225,,,2,-8.7,16,,4,,,23,2022,98.82,12,-17.9,0,NA,,1163842.2022.2.23.12,2022,2022-02-23 12:00:00,,1163842,48,,,,ND,-11,KAMLOOPS AUT,2,BC,23,,2022-02-23T20:00:00,
-120.44194444444445,50.702222222222225,,,2,-7.8,10,,6,,,23,2022,98.7,13,-19.6,0,NA,,1163842.2022.2.23.13,2022,2022-02-23 13:00:00,,1163842,38,,,,ND,-11,KAMLOOPS AUT,2,BC,23,,2022-02-23T21:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.8,10,,12,,,23,2022,98.58,14,-18.7,0,NA,,1163842.2022.2.23.14,2022,2022-02-23 14:00:00,,1163842,38,,,,ND,-12,KAMLOOPS AUT,2,BC,23,,2022-02-23T22:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.2,9,,9,,,23,2022,98.5,15,-18.1,0,NA,,1163842.2022.2.23.15,2022,2022-02-23 15:00:00,,1163842,38,,,,ND,-10,KAMLOOPS AUT,2,BC,23,,2022-02-23T23:00:00,
-120.44194444444445,50.702222222222225,,,2,-5.9,6,,5,,,23,2022,98.46,16,-18.3,0,NA,,1163842.2022.2.23.16,2022,2022-02-23 16:00:00,,1163842,37,,,,ND,-8,KAMLOOPS AUT,2,BC,24,,2022-02-24T00:00:00,
-120.44194444444445,50.702222222222225,,,2,-5.6,7,,5,,,23,2022,98.44,17,-17.4,0,NA,,1163842.2022.2.23.17,2022,2022-02-23 17:00:00,,1163842,39,,,,ND,-8,KAMLOOPS AUT,2,BC,24,,2022-02-24T01:00:00,
-120.44194444444445,50.702222222222225,,,2,-5.8,12,,6,,,23,2022,98.43,18,-15.6,0,NA,,1163842.2022.2.23.18,2022,2022-02-23 18:00:00,,1163842,46,,,,ND,-9,KAMLOOPS AUT,2,BC,24,,2022-02-24T02:00:00,
-120.44194444444445,50.702222222222225,,,2,-6.3,35,,5,,,23,2022,98.43,19,-12.5,0,NA,,1163842.2022.2.23.19,2022,2022-02-23 19:00:00,,1163842,61,,,,ND,-9,KAMLOOPS AUT,2,BC,24,,2022-02-24T03:00:00,
